trt,site,yr,month,day,line,ring,count
bison,bison_2,2022,7,8,6,8,0
bison,bison_2,2022,7,8,6,9,0
bison,bison_2,2022,7,8,6,10,1
bison,bison_2,2022,7,8,6,11,2
bison,bison_2,2022,7,8,6,12,1
bison,bison_2,2022,7,8,6,13,1
bison,bison_2,2022,7,8,6,14,1
bison,bison_2,2022,7,8,6,15,0
bison,bison_3,2022,7,5,1,1,0
bison,bison_3,2022,7,5,1,2,2
bison,bison_3,2022,7,5,1,3,1
bison,bison_3,2022,7,5,1,4,0
bison,bison_3,2022,7,5,1,5,1
bison,bison_3,2022,7,5,1,6,1
bison,bison_3,2022,7,5,1,7,0
bison,bison_3,2022,7,5,1,8,0
bison,bison_3,2022,7,5,1,9,0
bison,bison_3,2022,7,5,1,10,2
bison,bison_3,2022,7,5,1,11,1
bison,bison_3,2022,7,5,1,12,0
bison,bison_3,2022,7,5,1,13,1
bison,bison_3,2022,7,5,1,14,0
bison,bison_3,2022,7,5,1,15,1
bison,bison_3,2022,7,5,6,1,0
bison,bison_3,2022,7,5,6,2,1
bison,bison_3,2022,7,5,6,3,0
bison,bison_3,2022,7,5,6,4,0
bison,bison_3,2022,7,5,6,5,0
bison,bison_3,2022,7,5,6,6,0
bison,bison_3,2022,7,5,6,7,2
bison,bison_3,2022,7,5,6,8,1
bison,bison_3,2022,7,5,6,9,0
bison,bison_3,2022,7,5,6,10,0
bison,bison_3,2022,7,5,6,11,0
bison,bison_3,2022,7,5,6,12,1
bison,bison_3,2022,7,5,6,13,0
bison,bison_3,2022,7,5,6,14,0
bison,bison_3,2022,7,5,6,15,1
ungrazed,ungrazed_1,2022,7,4,1,1,2
ungrazed,ungrazed_1,2022,7,4,1,2,1
ungrazed,ungrazed_1,2022,7,4,1,3,2
ungrazed,ungrazed_1,2022,7,4,1,4,0
ungrazed,ungrazed_1,2022,7,4,1,5,1
ungrazed,ungrazed_1,2022,7,4,1,6,0
ungrazed,ungrazed_1,2022,7,4,1,7,0
ungrazed,ungrazed_1,2022,7,4,1,8,0
ungrazed,ungrazed_1,2022,7,4,1,9,0
ungrazed,ungrazed_1,2022,7,4,1,10,0
ungrazed,ungrazed_1,2022,7,4,1,11,0
ungrazed,ungrazed_1,2022,7,4,1,12,1
ungrazed,ungrazed_1,2022,7,4,1,13,2
ungrazed,ungrazed_1,2022,7,4,1,14,0
ungrazed,ungrazed_1,2022,7,4,1,15,2
ungrazed,ungrazed_1,2022,7,4,6,1,1
ungrazed,ungrazed_1,2022,7,4,6,2,2
ungrazed,ungrazed_1,2022,7,4,6,3,0
ungrazed,ungrazed_1,2022,7,4,6,4,0
ungrazed,ungrazed_1,2022,7,4,6,5,0
ungrazed,ungrazed_1,2022,7,4,6,6,2
ungrazed,ungrazed_1,2022,7,4,6,7,3
ungrazed,ungrazed_1,2022,7,4,6,8,2
ungrazed,ungrazed_1,2022,7,4,6,9,0
ungrazed,ungrazed_1,2022,7,4,6,10,3
ungrazed,ungrazed_1,2022,7,4,6,11,0
ungrazed,ungrazed_1,2022,7,4,6,12,4
ungrazed,ungrazed_1,2022,7,4,6,13,1
ungrazed,ungrazed_1,2022,7,4,6,14,1
ungrazed,ungrazed_1,2022,7,4,6,15,1
ungrazed,ungrazed_2,2022,7,12,1,1,1
ungrazed,ungrazed_2,2022,7,12,1,2,0
ungrazed,ungrazed_2,2022,7,12,1,3,0
